date,open,high,low,close,volume
2/6/06,32.4305,32.5423,31.3874,31.5736,1940300
2/7/06,31.5736,31.5736,29.5526,30.7261,3224600
2/8/06,29.3011,30.1766,28.7609,29.804,8960500
2/9/06,27.755,32.5795,27.4849,32.1325,8016600
2/10/06,31.5923,33.129,31.2942,31.8903,2229100
2/13/06,33.5388,33.7344,32.0673,32.6354,4804900
2/14/06,31.704,33.7624,31.6854,33.3246,3630300
2/15/06,32.7844,34.107,32.7844,34.0232,3260600
2/16/06,33.5668,33.7996,33.0173,33.2501,2042100
2/17/06,33.632,34.4609,32.6633,34.3957,2265000
2/21/06,33.4178,33.7437,32.831,32.9986,2121900
2/22/06,33.2594,34.1815,32.9148,33.604,1659600
2/23/06,33.0638,34.4423,32.9707,33.6599,1637400
2/24/06,33.0825,33.5202,33.0173,33.3432,1364600
2/27/06,33.2501,33.3898,32.7844,33.0638,2381100
2/28/06,33.2408,33.8276,32.8589,33.0359,1093400
3/1/06,32.8403,33.9021,32.654,33.6227,1401600
3/2/06,33.2035,33.8462,33.1663,33.5947,1374000
3/3/06,33.5295,34.4143,33.5295,34.107,1701600
3/6/06,33.93,34.6472,33.93,34.3864,753600
3/7/06,34.2374,35.3923,34.2281,34.6658,833100
3/8/06,34.4888,34.9452,34.4609,34.8428,878800
3/9/06,34.8428,34.8428,34.5447,34.7589,776100
3/10/06,34.6006,35.532,34.3864,35.5227,1517200
3/13/06,35.3457,36.2212,35.206,35.5972,3228300
3/14/06,35.4947,36.4168,35.4947,36.3143,2658400
3/15/06,36.3982,37.0688,36.2026,36.8545,1574200
3/16/06,36.6124,36.8545,36.482,36.5751,568100
3/17/06,36.3516,36.5099,36.1094,36.5099,1345500
3/20/06,36.1001,37.4786,36.1001,37.3947,1850900
3/21/06,37.9815,39.3413,37.758,38.1305,3005000
3/22/06,37.8604,40.0492,37.8325,39.7139,1677900
3/23/06,39.4438,39.7977,38.6614,38.8384,1488400
3/24/06,38.8384,39.5462,38.559,38.8477,612700
3/27/06,38.4938,39.5276,38.4658,39.4065,878400
3/28/06,39.0992,39.3227,37.7487,38.0001,1143200
3/29/06,37.6835,38.1864,36.8359,37.7393,792200
3/30/06,37.7207,37.9722,35.858,36.333,1274200
3/31/06,36.1839,37.7207,35.9697,37.1898,1007000
4/3/06,36.7893,37.1619,36.3237,36.4447,691800
4/4/06,36.2026,37.0967,35.504,36.3982,947700
4/5/06,36.6031,36.6962,36.2491,36.6403,677600
4/6/06,36.3423,36.6962,36.0349,36.2491,556200
4/7/06,35.9977,36.6217,35.8393,36.156,634400
4/10/06,35.83,36.0908,34.6565,35.1687,1563000
4/11/06,34.4795,36.0442,34.4795,35.6717,2497400
4/12/06,35.4575,36.5844,35.4575,36.2119,2920000
4/13/06,35.858,37.3016,35.6717,36.7241,2065600
4/17/06,36.631,36.6403,35.4482,35.9604,1740100
4/18/06,35.681,36.4168,34.9266,35.2712,1517600
4/19/06,35.383,36.0256,34.7403,35.4295,2853100
4/20/06,35.2339,35.7089,33.9021,34.2653,1936500
4/21/06,34.0325,34.3957,31.6761,32.0766,1690200
4/24/06,31.5736,33.9021,31.3035,33.5947,1849600
4/25/06,33.1383,33.6692,32.1883,33.4364,1966700
4/26/06,33.5016,33.7344,32.7937,33.306,1197000
4/27/06,32.9334,34.3491,32.9334,34.3026,954500
4/28/06,34.2094,34.3212,33.3432,33.5388,1461600
5/1/06,33.3991,34.0883,32.4119,32.8589,1676500
5/2/06,32.7751,33.8462,32.7472,33.5388,1909600
5/3/06,33.306,35.4761,32.8589,35.0384,1549500
5/4/06,34.9825,36.7987,34.9638,35.979,1564100
5/5/06,35.6531,36.9756,35.4109,36.2957,922200
5/8/06,36.1001,36.2957,32.9148,33.0638,3517400
5/9/06,32.6168,33.0638,31.0148,32.7844,2836700
5/10/06,32.5981,32.8496,31.7692,32.2349,1159000
5/11/06,32.1325,32.179,31.3129,31.3687,1261500
5/12/06,31.3594,31.7133,30.9496,31.2011,955000
5/15/06,31.2011,31.732,30.9403,31.5084,2150200
5/16/06,31.3129,31.6481,29.9437,30.4467,1520000
5/17/06,29.9344,31.0148,29.2918,30.5584,1023300
5/18/06,30.5677,31.0893,29.804,30.2138,931000
5/19/06,29.804,31.3874,29.7947,30.6609,1766800
5/22/06,30.2977,30.6888,29.3383,29.9437,1212300
5/23/06,30.0927,30.4094,29.3663,29.4035,1060900
5/24/06,29.3197,29.4594,27.6991,28.3045,2333400
5/25/06,27.8668,29.1427,27.8668,28.5001,1067200
5/26/06,28.6305,29.0775,28.6305,28.9192,1123000
5/30/06,28.705,28.9565,26.7771,27.0006,1600000
5/31/06,26.954,27.5128,26.3672,27.4104,2523900
6/1/06,27.3359,28.2207,27.3172,27.8016,1356900
6/2/06,27.6339,27.7457,26.5442,26.9354,1232000
6/5/06,26.3672,26.5628,25.2775,25.5849,1023300
6/6/06,25.5849,25.8922,24.2344,25.7805,2468000
6/7/06,25.3427,26.3579,25.2496,26.1251,1430100
6/8/06,26.4511,26.4511,25.3614,25.706,1206800
6/9/06,25.8922,26.0785,25.5197,25.6967,1225200
6/12/06,25.7525,25.8457,24.4952,24.9329,1391300
6/13/06,24.8025,25.4824,24.3182,25.1751,1425200
6/14/06,25.1471,26.3114,25.0633,25.9016,1521100
6/15/06,25.8922,28.407,25.8736,28.3324,2328300
6/16/06,29.0403,30.2045,28.8726,29.3197,2187700
6/19/06,29.3011,29.7854,29.0775,29.4315,1473800
6/20/06,29.357,30.0089,29.3104,29.6177,983800
6/21/06,29.6177,30.4746,29.2545,30.0369,976500
6/22/06,29.804,30.782,29.2545,30.2697,936200
6/23/06,30.13,30.3163,29.8413,30.307,757900
6/26/06,30.1207,30.4932,29.1521,29.6923,925600
6/27/06,29.4967,29.506,27.7457,28.053,1617000
6/28/06,27.8481,28.3138,27.2427,27.755,1146600
6/29/06,28.0344,28.2673,27.5687,27.9692,3307400
6/30/06,28.0065,29.1334,28.0065,28.8913,6799000
7/3/06,28.6864,29.3197,28.4163,28.8447,361600
7/5/06,28.6677,28.9192,27.7829,28.9192,1681100
7/6/06,28.6584,29.9624,28.6491,29.2452,1330300
7/7/06,29.0962,29.5712,28.3418,29.0124,1088800
7/10/06,28.9751,29.5246,28.9378,29.3197,1003100
7/11/06,29.0962,29.3011,28.1275,28.705,1529700
7/12/06,28.4349,29.1986,28.4349,28.6584,925500
7/13/06,28.3604,28.3604,26.3393,26.656,1918400
7/14/06,26.3207,26.5908,24.4486,24.9236,2190000
7/17/06,24.6442,25.6128,24.4672,24.8491,1660200
7/18/06,24.9143,25.4172,24.104,24.9609,1440600
7/19/06,25.2403,27.0565,25.1006,26.6001,3414800
7/20/06,26.7677,27.1496,25.4359,25.7712,1357600
7/21/06,25.7805,25.7805,24.7094,25.1006,1752200
7/24/06,26.7025,28.4535,25.706,26.2648,4728200
7/25/06,26.0785,26.0785,24.9609,25.6221,5985800
7/26/06,25.4359,25.8922,25.2403,25.5011,4780500
7/27/06,25.5197,25.678,24.6815,25.1378,2808900
7/28/06,25.0913,25.8084,24.8305,25.6315,2143200
7/31/06,25.1844,26.0692,24.0295,24.3462,3672700
8/1/06,23.8525,24.0295,23.0143,23.4241,3391000
8/2/06,23.0143,23.5265,22.3903,22.5859,3839100
8/3/06,22.6138,23.7966,22.1202,23.629,1747300
8/4/06,23.8525,24.0295,22.6511,22.9212,1877800
8/7/06,23.0609,23.4986,22.4462,23.2378,1678900
8/8/06,23.1726,23.6569,22.9118,23.0795,1237000
8/9/06,23.0981,23.2471,22.0084,22.1947,1632300
8/10/06,20.4903,22.2971,20.3971,21.906,7034700
8/11/06,21.7011,22.1295,20.5927,20.7976,2116200
8/14/06,21.3751,21.5613,20.7976,21.1888,2547800
8/15/06,21.6731,21.878,21.4403,21.7104,1605500
8/16/06,21.8873,23.1261,21.5613,22.9305,3006500
8/17/06,23.1913,23.5172,22.502,23.0143,2712200
8/18/06,22.977,23.4427,22.679,23.1726,1747900
8/21/06,22.7908,22.8932,22.0829,22.3623,920100
8/22/06,22.2692,22.9491,22.0177,22.5579,1115300
8/23/06,22.502,23.331,22.353,23.0795,2216800
8/24/06,22.9677,23.3775,22.4927,22.6138,1238100
8/25/06,22.4462,22.53,21.9432,22.0922,1149900
8/28/06,22.1388,22.9491,22.1388,22.8001,1277700
8/29/06,22.9118,23.2658,22.6324,23.0422,1301100
8/30/06,23.0795,23.5172,22.8187,23.4707,1663000
8/31/06,23.3589,23.5638,23.2285,23.2844,1301200
9/1/06,23.3496,23.3682,22.828,23.1261,1117400
9/5/06,23.1447,23.6942,22.7721,23.48,2029400
9/6/06,23.4986,23.8153,23.1261,23.1819,1640200
9/7/06,23.1447,23.5172,22.8094,23.2285,1554200
9/8/06,23.2285,23.4241,22.8653,23.3682,1936100
9/11/06,23.2565,23.3868,22.9677,23.3868,1680400
9/12/06,23.3216,24.8677,23.1726,24.6349,4183700
9/13/06,24.9143,25.4545,24.6535,24.8677,4579900
9/14/06,24.8677,25.855,24.4952,25.7246,3365100
9/15/06,25.6967,26.5908,25.2775,25.706,4445800
9/18/06,25.7153,25.7246,24.6163,24.756,1898400
9/19/06,24.7094,25.9295,24.4579,25.8922,2517900
9/20/06,26.33,26.8236,25.8922,26.7771,2763200
9/21/06,26.7025,26.7771,25.7991,25.9947,1491700
9/22/06,25.9295,26.1065,25.352,25.9109,2040900
9/25/06,26.5349,27.4197,25.8922,26.4976,3236400
9/26/06,26.2927,26.7771,26.004,26.3579,1212600
9/27/06,26.1717,26.4604,25.2868,25.529,2236200
9/28/06,25.5104,25.6128,24.6442,24.9795,2530900
9/29/06,25.0354,25.5197,24.5511,24.7467,2193100
10/2/06,25.1192,26.1903,24.9329,25.9854,3040000
10/3/06,26.0599,27.6619,25.9854,27.3824,5255900
10/4/06,27.1589,28.2114,26.6746,27.7084,4833300
10/5/06,27.4104,28.0344,27.0192,28.0344,1979800
10/6/06,27.7923,28.6025,27.5222,27.9785,1855600
10/9/06,27.755,27.8295,26.8609,27.7271,1663400
10/10/06,28.2859,28.6119,27.8761,28.3976,2789500
10/11/06,28.5467,29.0775,27.8947,28.882,3387000
10/12/06,28.9285,29.4128,28.8354,29.2638,2240100
10/13/06,29.0496,29.0589,28.4163,28.8261,1893400
10/16/06,28.6864,29.1986,28.0158,28.1555,1737100
10/17/06,27.9413,28.3324,27.7084,28.23,1837500
10/18/06,29.3756,30.5026,28.705,30.2511,5696100
10/19/06,30.2604,31.7879,29.804,31.5736,5028900
10/20/06,31.4246,33.4736,31.1359,32.9707,5234600
10/23/06,33.0825,33.9952,32.7565,32.98,3586500
10/24/06,32.7472,33.0638,31.6295,32.5888,3049500
10/25/06,32.4026,32.9148,31.4432,32.1231,2964100
10/26/06,31.9369,33.6133,31.7413,33.2594,3038700
10/27/06,33.0545,33.7065,32.6261,32.8776,2209000
10/30/06,32.7285,34.4143,32.654,34.2467,4037000
10/31/06,34.9732,35.1594,33.0638,33.4736,5006400
11/1/06,33.3991,33.6972,32.5143,32.8217,2262100
11/2/06,32.3932,33.0545,31.8344,32.6261,2544100
11/3/06,32.4026,32.8031,32.2908,32.3839,2510900
11/6/06,32.5516,33.5295,32.058,33.2222,2186400
11/7/06,32.8403,33.6227,32.831,33.0638,2035600
11/8/06,32.831,32.8962,31.9928,32.5423,1182100
11/9/06,32.4491,33.0452,31.9369,32.3653,1465400
11/10/06,32.533,33.5295,31.9276,33.1849,1770800
11/13/06,34.1815,34.554,32.1418,34.4609,5841900
11/14/06,34.4609,34.4609,33.3526,34.1815,2793500
11/15/06,35.6717,38.0933,35.3923,37.2457,14153500
11/16/06,36.8825,39.0712,36.6031,38.6521,6419600
11/17/06,38.4192,39.0526,36.9663,37.6741,2772700
11/20/06,37.432,38.6521,37.1433,37.432,3312600
11/21/06,36.9477,39.5742,36.8825,39.3786,4721500
11/22/06,39.9094,41.2786,39.5183,40.9805,4171300
11/24/06,39.8443,41.4462,39.7697,41.3903,1024900
11/27/06,41.232,41.2879,38.559,38.7732,3385100
11/28/06,37.879,38.0467,37.0874,37.73,5372600
11/29/06,38.5403,39.3879,38.0094,38.205,2908500
11/30/06,38.0001,38.6335,36.9756,37.7952,3178600
12/1/06,38.0467,39.3227,37.2085,37.6928,2491200
12/4/06,37.6835,39.2854,37.4879,38.9781,3174000
12/5/06,38.9874,39.4158,38.0933,39.0433,1936000
12/6/06,39.2202,39.6487,38.531,39.3506,1833200
12/7/06,39.1737,40.1889,39.1178,39.6766,1730800
12/8/06,39.2016,40.4403,38.7732,39.9933,2318700
12/11/06,40.5148,42.0982,40.3379,41.4742,3346700
12/12/06,41.0737,41.2506,39.2389,40.2634,4602800
12/13/06,43.0854,43.3462,41.5394,42.1354,8157500
12/14/06,41.8188,41.9026,40.7477,41.4928,3296600
12/15/06,41.6791,42.2845,41.0457,41.3624,1567400
12/18/06,41.3903,42.1541,41.2879,41.6418,1694800
12/19/06,40.9712,42.5173,40.608,42.0796,2020900
12/20/06,41.8653,41.884,40.6732,40.8408,1867000
12/21/06,40.7011,41.4369,40.1516,40.4031,1342600
12/22/06,40.3658,40.3658,39.4717,39.8815,1166700
12/26/06,39.4438,41.2041,39.2389,40.9805,1442400
12/27/06,40.8129,41.1854,40.5242,40.9712,807800
12/28/06,40.6639,40.7663,40.2634,40.6452,946300
12/29/06,40.5055,41.3438,40.1702,40.9805,1325600
1/3/07,41.7256,43.9423,41.6791,43.1786,4023900
1/4/07,42.8526,44.4732,42.3869,44.1006,2907300
1/5/07,43.3276,44.1006,42.6849,43.3555,2385400
1/8/07,42.3497,44.4359,41.4462,43.5884,4700800
1/9/07,44.8644,44.8923,43.2624,43.6256,4450000
1/10/07,44.3707,45.8516,42.7408,45.4977,6644600
1/11/07,45.0786,47.1556,44.8644,46.6433,5855800
1/12/07,46.3825,48.0124,46.3825,46.7178,4611600
1/16/07,46.4011,48.031,46.1497,47.6957,2863800
1/17/07,47.0345,47.8634,45.0413,45.7305,3672500
1/18/07,45.7864,47.1276,45.0413,46.2055,4721500
1/19/07,46.3918,46.3918,44.7805,45.7771,2793700
1/22/07,45.7771,45.7864,43.7281,45.4046,2867700
1/23/07,42.7688,43.7281,41.4742,41.7349,11674400
1/24/07,41.5487,42.7501,40.6545,42.5452,4700400
1/25/07,42.4521,42.7222,41.5207,42.0889,1941000
1/26/07,41.1109,41.7908,40.0678,40.5614,4487700
1/29/07,40.8781,42.7501,40.5614,41.9398,3529800
1/30/07,42.0423,42.0889,39.5835,40.0957,4420200
1/31/07,40.0492,40.4962,38.0933,40.2354,5180900
2/1/07,40.0492,41.2413,39.8349,41.1482,2651000
2/2/07,40.8967,42.4521,40.7384,41.2693,3522500
2/5/07,41.8374,41.8747,40.4776,41.3345,1949900
2/6/07,40.8967,42.508,40.3193,42.0237,2343300
2/7/07,41.8095,42.3497,41.0923,42.2472,3701500
2/8/07,41.9678,42.3683,41.6884,41.8188,1474200
2/9/07,42.3497,43.309,41.1109,41.3717,3652100
2/12/07,41.8653,42.3683,41.2599,41.6884,3277600
2/13/07,41.6232,42.0516,41.2041,41.6418,1686000
2/14/07,41.53,42.5452,41.1947,41.7908,1574700
2/15/07,41.5766,41.9864,40.6918,41.4462,2720900
2/16/07,41.5207,42.2658,41.4183,41.5859,3415800
2/20/07,41.9212,42.4987,41.2879,42.0702,1957500
2/21/07,42.0702,42.1727,41.3438,41.53,2156000
2/22/07,41.558,41.6977,39.8443,40.4124,2279000
2/23/07,40.3099,40.5148,39.2295,39.807,2233300
2/26/07,39.8629,39.8815,38.4472,39.2575,1688700
2/27/07,38.6148,38.7173,35.7089,37.2737,7082900
2/28/07,37.1805,37.8045,36.3143,37.2457,2979700
3/1/07,36.7335,37.4413,35.4295,37.2364,3643700
3/2/07,37.4134,37.8325,35.7835,36.3888,3393700
3/5/07,36.0256,37.1153,35.8114,35.8114,2507200
3/6/07,36.3609,36.7335,35.979,36.5099,1668800
3/7/07,36.5192,36.9663,36.0815,36.1653,6694000
3/8/07,36.3423,36.6031,35.3178,35.5879,3313400
3/9/07,36.007,36.1374,35.4668,35.8114,1822100
3/12/07,35.6717,37.255,35.6717,37.2364,3463200
3/13/07,36.7335,37.0688,36.0536,36.2026,2839500
3/14/07,36.0256,36.1746,34.1256,35.2246,4386000
3/15/07,34.7869,36.454,34.7869,36.2305,2167000
3/16/07,36.1653,36.3516,35.1501,35.8207,1673500
3/19/07,36.1839,37.1433,35.9232,37.0781,1787900
3/20/07,36.9942,38.2982,36.7148,37.4506,3520600
3/21/07,37.7952,38.708,37.106,38.6241,2303800
3/22/07,38.5403,38.5403,36.8359,36.9756,2702600
3/23/07,36.929,37.1526,36.1094,36.7055,2847200
3/26/07,36.6962,36.6962,35.2339,35.6903,3069300
3/27/07,35.6903,36.1094,34.9266,35.7276,2640800
3/28/07,35.355,35.5692,34.6472,35.4947,2257800
3/29/07,35.9511,35.9977,34.5354,35.4295,2393600
3/30/07,35.6717,36.1374,34.9266,35.5506,2789500
4/2/07,35.6717,35.8207,34.6006,35.7183,2612900
4/3/07,36.3423,37.8045,36.3423,37.4134,4552600
4/4/07,37.8045,38.1212,36.9756,37.3016,2730600
4/5/07,37.4599,38.2795,37.0688,38.1305,1906600
4/9/07,38.2795,39.7045,37.7952,39.4065,2959400
4/10/07,39.2482,39.3227,38.5031,39.0246,2622900
4/11/07,39.3506,40.0492,38.205,39.6487,3439700
4/12/07,39.4065,39.5462,38.7173,39.3506,2968400
4/13/07,39.2575,39.5835,39.1085,39.2761,1912300
4/16/07,39.5835,40.2168,38.8942,39.8349,2017700
4/17/07,39.6673,40.4962,39.3134,40.3565,2472500
4/18/07,40.3379,41.2786,39.6487,41.1947,1813900
4/19/07,41.055,41.2134,39.5928,39.8443,2993600
4/20/07,40.1795,40.431,37.8511,38.0467,5656400
